WKT,ID,Use_Cat,Cons_Frame
POINT (423952.328183882 8450101.663951084),1279,Residential,Masonry
POINT (423921.06758927007 8450113.331784854),1280,Outbuilding,Masonry
POINT (423946.9580634788 8450339.733183758),1281,Outbuilding,Masonry
POINT (423840.5229431914 8450415.021825887),1282,Residential,Masonry
POINT (423872.8546625644 8450423.897292085),1283,Outbuilding,Masonry
POINT (423851.06233443064 8450435.716533527),1284,Outbuilding,Masonry
POINT (423772.31598863174 8449754.34171875),1285,Residential,Masonry
POINT (423841.903058345 8449412.080473736),1286,Outbuilding,Masonry
POINT (423760.29672899423 8449365.624672776),1287,Outbuilding,Masonry
POINT (423742.45571004803 8449367.300747372),1288,Residential,Masonry
POINT (423730.734523407 8449395.941817576),1289,Outbuilding,Masonry
POINT (423680.6099405251 8449373.33878569),1290,Residential,Masonry
POINT (423690.203054575 8449391.510100376),1291,Outbuilding,Masonry
POINT (423653.28512778354 8449503.648872964),1292,Outbuilding,Masonry
POINT (423555.8526950724 8449487.686179336),1293,Outbuilding,Masonry
POINT (423558.99562212813 8449503.610363752),1294,Outbuilding,Masonry
POINT (423571.73876151984 8449377.738639278),1295,Residential,Masonry
POINT (426633.88270396594 8449521.240812441),16111,,
POINT (426991.11390505446 8449441.997697458),9869,,
POINT (426695.3495073839 8449923.174815858),8698,,
POINT (426587.021704396 8448591.70544303),2184,,
POINT (426251.96808931814 8448837.423078615),12581,,
POINT (426709.8580425609 8449349.636888985),15964,,
POINT (426265.761601448 8449570.618248308),6840,,
POINT (426763.58560053015 8449516.501236804),15072,,
POINT (426265.3333575631 8449269.506175628),4042,,
POINT (427006.2799488322 8449447.475020409),13774,,
POINT (426785.65186395595 8449254.771107329),7640,,
POINT (426772.73547293735 8449262.018302357),3256,,
POINT (426685.8929314281 8449922.041638171),3363,,
POINT (426918.2603299762 8449569.636587357),9998,,
POINT (426544.4235492061 8449536.758506594),16629,,
POINT (426844.0596012873 8449209.509399928),4573,,
POINT (423583.8491766619 8449404.00663885),1296,Outbuilding,Masonry
POINT (423548.5783849532 8449384.213027006),1297,Residential,Masonry
POINT (423524.6063410763 8449411.746823879),1298,Outbuilding,Masonry
POINT (423469.10954556597 8449447.126704812),1299,Residential,Masonry
POINT (423475.58885564294 8449455.928254476),1300,Outbuilding,Masonry
POINT (423443.4830214608 8449464.48359977),1301,Residential,Masonry
POINT (423405.9838835223 8449499.529072164),1302,Residential,Masonry
POINT (423403.509378163 8449514.184047066),1303,Outbuilding,Masonry
POINT (423319.5706213437 8449573.2175081),1304,Residential,Masonry
POINT (423326.4374489195 8449592.565782484),1305,Outbuilding,Masonry
POINT (423302.40244604246 8449603.037600793),1306,Fale,Timber
POINT (423299.7457506207 8449588.22700065),1307,Outbuilding,Timber
POINT (423315.9578601719 8449604.822317813),1308,Outbuilding,Masonry
POINT (423286.0129922012 8450422.133427037),1309,Residential,Masonry
POINT (423271.79949206533 8450409.528555192),1310,Outbuilding,Masonry
POINT (423318.90738361067 8450341.748614186),1311,Residential,Masonry
POINT (431707.48575202725 8448560.439863183),8488,,
POINT (432411.38000072364 8448718.401316492),19843,,
POINT (432290.8606017862 8448493.471877396),7582,,
POINT (431985.20350794034 8448454.794722365),1725,,
POINT (431901.40651438816 8448499.319662154),9378,,
POINT (432420.00607568293 8448721.095201533),14857,,
POINT (431995.39953189826 8448472.50940849),11794,,
POINT (432420.82253468776 8448579.991377126),4701,,
POINT (431756.4118826462 8448639.369244384),19151,,
POINT (431655.5926150912 8448686.282248944),17687,,
POINT (431917.8959389103 8448496.03024894),13207,,
POINT (432282.87668286834 8448382.234221587),15168,,
POINT (432091.640363598 8448502.865305701),12044,,
