ID,Use_Cat,Cons_Frame,lat,long
16239,,,-14.030494350001232,-171.68278255000075
14001,,,-14.022875158171807,-171.68248397704374
12167,,,-14.023973834390738,-171.68221796916328
8647,,,-14.025613600001241,-171.67866260000048
12348,,,-14.023460079237747,-171.68297314290976
12617,,,-14.02321025000042,-171.67952019999996
18851,,,-14.022711630766384,-171.6808865869291
18218,,,-14.023759178058906,-171.68051953684963
18102,,,-14.025909182201818,-171.6778477981661
17225,,,-14.025138503122603,-171.67767523110936
9159,,,-14.022743849998726,-171.68250394999623
13110,,,-14.022130759026757,-171.67988567995016
13010,,,-14.023913450000958,-171.6802524000003
14018,,,-14.026107033592936,-171.68291237097438
4472,,,-14.032085421162675,-171.6797706580474
17173,,,-14.025284614478478,-171.68158524765155
13571,,,-14.02812857597086,-171.67759715010527
4531,,,-14.02501589804285,-171.67232932871175
7319,,,-14.023887011565039,-171.6796596354146
10308,,,-14.02294186916875,-171.68108053389892
1314,Residential,Masonry,-14.018513419849494,-171.70952727348651
1315,Outbuilding,Masonry,-14.018421207111853,-171.70952825800538
1316,Fale,Timber,-14.018338525278445,-171.7095014952152
1317,Residential,Masonry,-14.019211485276067,-171.70954218983474
1318,Outbuilding,Masonry,-14.019209798372435,-171.7096927247697
1319,Residential,Masonry,-14.019707432232435,-171.7097573770947
1320,Residential,Masonry,-14.019956657107375,-171.70979184147367
1321,Outbuilding,Masonry,-14.02010932165618,-171.70981924665185
1322,Residential,Masonry,-14.020301931016169,-171.70978514033104
1323,Outbuilding,Masonry,-14.020285101352808,-171.70999871602982
1324,Outbuilding,Masonry,-14.02065085307248,-171.71000390828124
1325,Outbuilding,Masonry,-14.020785317755122,-171.70981985497215
1326,Outbuilding,Masonry,-14.020641701383337,-171.71011981183898
1327,Outbuilding,Masonry,-14.020672026589706,-171.70984209410972
1328,Outbuilding,Masonry,-14.020416879490421,-171.71010792491109
1329,Outbuilding,Masonry,-14.021096825872094,-171.7100502265965
1330,Outbuilding,Masonry,-14.021706526979571,-171.71013191717805
1331,Outbuilding,Masonry,-14.021888843188107,-171.7105465126432
1332,Residential,Masonry,-14.022513045143564,-171.71048372970753
1333,Outbuilding,Masonry,-14.022440262588521,-171.71035547813457
1334,Residential,Masonry,-14.022651189728366,-171.71078882390216
1335,Residential,Masonry,-14.022572188204089,-171.71096422825363
1336,Residential,Masonry,-14.02233439027969,-171.71088684326645
1337,Outbuilding,Masonry,-14.022398902496887,-171.7107319653006
1338,Outbuilding,Masonry,-14.022272817512468,-171.71070033986504
1339,Outbuilding,Masonry,-14.022203054621018,-171.71089861952169
