ID,Cons_Frame,Use_Cat,area,storeys,REGION
2494,Masonry,Outbuilding,20.5,1,Falealili
2499,Masonry,Outbuilding,96.3,1,Lotofaga
2503,Masonry,Residential,210.8,1,Safata
2504,Masonry,Residential,248.3,1,Safata
2511,Masonry,Outbuilding,44.7,1,Aleipata Itupa i Lalo
2513,Masonry,Outbuilding,14.3,1,Lepa
2518,Masonry,Outbuilding,33.7,1,Aleipata Itupa i Lalo
2531,Masonry,Residential,125.4,1,Safata
2535,Timber,Outbuilding,26.2,1,Lepa
2537,Masonry,Outbuilding,58.0,1,Falealili
2540,Masonry,Fale,43.5,1,Aleipata Itupa i Lalo
2540,Masonry,Hotel,59.8,3,Falealili
2543,Masonry,Commercial,34.9,2,Siumu
2543,Masonry,Outbuilding,45.1,1,Siumu
2544,Masonry,Residential,248.0,1,Siumu
2547,Masonry,Residential,194.0,1,Falealili
2552,Masonry,Outbuilding,52.1,1,Siumu
2554,Masonry,Outbuilding,12.8,1,Aleipata Itupa i Lalo
2562,Masonry,Residential,208.5,1,Falealili
2570,Masonry,Outbuilding,83.1,1,Siumu
2578,Masonry,Residential,61.9,1,Vaa o Fonoti
2584,Masonry,Residential,260.0,1,Falealili
2611,Masonry,Residential,106.8,1,Aleipata Itupa i Lalo
2614,Timber,Outbuilding,65.2,1,Aleipata Itupa i Luga
2615,Masonry,Outbuilding,52.4,1,Safata
2621,Timber,Community,108.3,1,Aleipata Itupa i Luga
2623,Masonry,Outbuilding,78.9,1,Lotofaga
2638,Masonry,Outbuilding,55.0,1,Aleipata Itupa i Lalo
2638,Masonry,Residential,173.7,1,Aleipata Itupa i Lalo
2641,Masonry,Residential,164.4,1,Lepa
2648,Masonry,Residential,267.7,1,Lepa
2658,Masonry,Residential,67.0,1,Anoamaa East
2661,Masonry,Outbuilding,162.5,1,Siumu
2661,Masonry,Outbuilding,39.4,1,Safata
2671,Masonry,Community,195.0,1,Siumu
2673,Masonry,Residential,113.0,1,Siumu
2675,Masonry,Outbuilding,20.2,1,Lepa
2676,Masonry,Residential,111.6,1,Falealili
2679,Masonry,Residential,122.6,1,Falealili
2681,Masonry,Outbuilding,166.4,1,Siumu
2683,Masonry,Tourist Fale,18.8,1,Lepa
2688,Masonry,Residential,253.4,1,Aleipata Itupa i Luga
2690,Masonry,Residential,79.0,1,Falealili
2694,Masonry,Residential,64.7,1,Anoamaa East
2695,Masonry,Residential,202.1,1,Aleipata Itupa i Luga
